conv_id	turn	fresh	reused	kv_xfer_ms	kv_xfer_dur	kv_bw_gbps	kv_prep_ms	ttft_agg_ms	ttft_disagg_ms	delta_ttft_ms
aa-rwlt-coding-agent-056	60	83	81603	332.676	332.675	0.092	2.262	212.684	518.272	305.588
aa-rwlt-coding-agent-011	0	9265	2068	9.617	9.616	309.397	0.42	191.031	143.206	-47.825
aa-rwlt-coding-agent-011	1	502	11333	4.725	4.724	34.624	0.364	119.436	64.052	-55.384
aa-rwlt-coding-agent-011	2	142	11835	3.183	3.182	19.28	0.373	119.414	63.366	-56.049
aa-rwlt-coding-agent-011	3	71	11977	2.927	2.926	10.482	0.364	123.497	61.743	-61.754
aa-rwlt-coding-agent-011	4	2359	12048	5.172	5.171	148.29	0.427	153.129	99.194	-53.935
aa-rwlt-coding-agent-011	5	1925	14407	7.146	7.145	87.28	0.459	144.807	101.09	-43.718
aa-rwlt-coding-agent-011	6	516	16332	6.671	6.669	26.059	0.483	138.954	84.05	-54.904
aa-rwlt-coding-agent-011	7	399	16848	6.258	6.257	21.24	0.477	118.083	75.936	-42.147
aa-rwlt-coding-agent-011	8	3793	17247	11.496	11.495	105.841	0.589	181.729	133.772	-47.957
aa-rwlt-coding-agent-011	9	229	21040	11.243	11.242	7.275	0.564	152.069	88.831	-63.238
aa-rwlt-coding-agent-011	10	306	21269	10.753	10.752	10.46	0.587	115.978	92.28	-23.698
aa-rwlt-coding-agent-011	11	237	21575	10.847	10.845	7.542	0.595	133.09	91.133	-41.957
aa-rwlt-coding-agent-011	12	208	21812	11.155	11.154	7.333	0.606	132.854	91.615	-41.239
aa-rwlt-coding-agent-011	13	891	22020	12.901	12.9	22.192	0.643	149.579	113.179	-36.4
aa-rwlt-coding-agent-011	14	583	22911	13.812	13.811	14.065	0.64	140.698	106.603	-34.095
aa-rwlt-coding-agent-011	15	3730	23494	21.261	21.26	56.263	0.768	258.951	169.361	-89.591
aa-rwlt-coding-agent-011	16	796	27224	24.055	24.054	11.051	0.797	161.713	125.797	-35.916
aa-rwlt-coding-agent-011	17	520	28020	25.035	25.034	6.943	0.773	172.032	120.914	-51.118
aa-rwlt-coding-agent-011	18	1169	28540	28.144	28.142	13.805	0.812	226.086	143.392	-82.694
aa-rwlt-coding-agent-011	19	530	29709	29.249	29.248	5.942	0.808	148.53	128.774	-19.757
aa-rwlt-coding-agent-011	20	493	30239	29.822	29.821	5.485	0.809	149.026	124.934	-24.091
aa-rwlt-coding-agent-011	21	923	30732	31.547	31.546	9.723	0.843	217.246	144.268	-72.978
aa-rwlt-coding-agent-011	22	619	31655	32.901	32.9	6.215	0.871	207.945	140.068	-67.877
aa-rwlt-coding-agent-011	23	355	32274	34.679	34.678	3.538	0.898	195.188	138.751	-56.437
aa-rwlt-coding-agent-011	24	566	32629	36.139	36.137	5.375	0.898	160.579	148.751	-11.829
aa-rwlt-coding-agent-011	25	903	33195	37.918	37.917	7.819	0.928	160.707	152.289	-8.418
aa-rwlt-coding-agent-011	26	2075	34098	44.322	44.321	15.225	0.972	201.669	187.459	-14.21
aa-rwlt-coding-agent-011	27	925	36173	47.033	47.031	6.521	1.039	220.355	170.119	-50.236
aa-rwlt-coding-agent-011	28	526	37098	49.05	49.049	3.543	0.989	163.036	166.095	3.06
aa-rwlt-coding-agent-011	29	896	37624	51.988	51.987	5.703	1.055	198.09	175.722	-22.368
aa-rwlt-coding-agent-011	30	195	38520	52.622	52.621	1.36	1.039	160.217	163.423	3.206
aa-rwlt-coding-agent-011	31	357	38715	52.022	52.021	2.358	1.034	168.09	167.263	-0.827
aa-rwlt-coding-agent-011	32	950	39072	55.924	55.922	5.485	1.07	172.258	182.334	10.076
aa-rwlt-coding-agent-011	33	668	40022	58.407	58.405	3.851	1.083	177.826	189.835	12.009
aa-rwlt-coding-agent-011	34	673	40690	61.352	61.351	3.666	1.129	181.603	190.829	9.226
aa-rwlt-coding-agent-011	35	1074	41363	64.963	64.962	5.508	1.137	188.602	207.746	19.143
aa-rwlt-coding-agent-011	36	396	42437	66.334	66.333	2.004	1.112	165.155	187.54	22.385
aa-rwlt-coding-agent-011	37	240	42833	66.827	66.826	1.377	1.139	168.539	187.513	18.974
aa-rwlt-coding-agent-011	38	205	43073	67.615	67.613	1.058	1.123	166.534	187.52	20.986
aa-rwlt-coding-agent-011	39	464	43278	69.194	69.193	2.216	1.153	182.253	195.994	13.741
aa-rwlt-coding-agent-011	40	552	43742	71.195	71.194	2.585	1.178	182.129	205.152	23.023
aa-rwlt-coding-agent-011	41	331	44294	71.883	71.882	1.565	1.177	168.602	197.836	29.234
aa-rwlt-coding-agent-011	42	441	44625	73.896	73.894	2.075	1.198	182.453	209.531	27.078
aa-rwlt-coding-agent-011	43	666	45066	77.626	77.624	2.898	1.288	181.595	220.841	39.247
aa-rwlt-coding-agent-011	44	173	45732	78.104	78.103	0.785	1.211	170.385	207.008	36.623
aa-rwlt-coding-agent-011	45	762	45905	81.84	81.839	3.123	1.238	203.619	228.952	25.333
aa-rwlt-coding-agent-011	46	693	46667	84.342	84.341	2.667	1.264	186.063	228.435	42.372
aa-rwlt-coding-agent-011	47	294	47360	87.632	87.63	1.167	1.347	174.21	225.566	51.356
aa-rwlt-coding-agent-011	48	243	47654	88.624	88.623	0.923	1.269	175.687	224.009	48.322
aa-rwlt-coding-agent-011	49	274	47897	89.606	89.605	1.141	1.268	176.988	223.774	46.787
aa-rwlt-coding-agent-011	50	389	48171	90.235	90.234	1.473	1.271	189.431	226.286	36.854
aa-rwlt-coding-agent-011	51	268	48560	91.422	91.421	1.006	1.29	183.301	227.256	43.955
aa-rwlt-coding-agent-011	52	225	48828	92.499	92.498	0.774	1.301	176.48	229.925	53.445
aa-rwlt-coding-agent-011	53	128	49053	93.357	93.355	0.438	1.304	183.749	230.68	46.931
aa-rwlt-coding-agent-011	54	247	49181	94.187	94.186	0.868	1.297	178.657	232.616	53.958
aa-rwlt-coding-agent-011	55	159	49428	94.84	94.838	0.647	1.297	183.744	232.73	48.986
aa-rwlt-coding-agent-011	56	1	49586	94.996	94.995	0.108	1.301	203.648	231.439	27.792
aa-rwlt-coding-agent-011	57	1172	49587	100.506	100.504	3.865	1.344	233.696	269.577	35.882
aa-rwlt-coding-agent-011	58	1081	50759	105.239	105.238	3.303	1.393	211.238	283.737	72.499
aa-rwlt-coding-agent-011	59	329	51840	107.285	107.284	1.048	1.378	187.908	252.878	64.97
