conv_id	turn	fresh	reused	kv_xfer_ms	kv_xfer_dur	kv_bw_gbps	kv_prep_ms	ttft_agg_ms	ttft_disagg_ms	delta_ttft_ms
aa-rwlt-coding-agent-010	23	913	33469	38.272	38.27	7.747	0.941	185.351	152.876	-32.475
aa-rwlt-coding-agent-010	24	743	34382	40.719	40.718	6.026	0.948	166.331	156.264	-10.066
aa-rwlt-coding-agent-010	25	887	35125	42.538	42.536	6.97	0.962	169.732	160.292	-9.439
aa-rwlt-coding-agent-010	26	264	36012	43.238	43.236	2.128	0.969	177.291	151.924	-25.367
aa-rwlt-coding-agent-010	27	269	36276	44.103	44.102	2.318	0.976	162.397	151.221	-11.175
aa-rwlt-coding-agent-010	28	230	36545	44.644	44.642	1.832	0.984	156.095	157.125	1.03
aa-rwlt-coding-agent-010	29	691	36775	47.365	47.364	4.749	1.014	166.468	168.486	2.017
aa-rwlt-coding-agent-010	30	530	37466	49.34	49.339	3.73	1.042	176.2	170.442	-5.758
aa-rwlt-coding-agent-010	31	407	37996	51.133	51.132	2.799	1.069	180.641	166.596	-14.045
aa-rwlt-coding-agent-010	32	600	38403	52.956	52.955	3.668	1.053	169.431	177.575	8.144
aa-rwlt-coding-agent-010	33	318	39003	53.341	53.34	2.108	1.095	166.52	171.476	4.956
aa-rwlt-coding-agent-010	34	367	39321	54.308	54.306	2.447	1.07	238.474	172.911	-65.563
aa-rwlt-coding-agent-010	35	663	39688	57.643	57.641	3.725	1.105	196.545	187.805	-8.74
aa-rwlt-coding-agent-010	36	589	40351	59.907	59.905	3.243	1.108	190.856	189.594	-1.262
aa-rwlt-coding-agent-010	37	208	40940	60.511	60.509	1.183	1.097	178.664	179.184	0.521
aa-rwlt-coding-agent-010	38	510	41148	62.222	62.221	2.793	1.119	177.404	185.16	7.755
aa-rwlt-coding-agent-010	39	246	41658	63.09	63.089	1.458	1.122	169.3	189.786	20.485
aa-rwlt-coding-agent-010	40	733	41904	66.077	66.076	3.713	1.168	181.342	203.16	21.818
aa-rwlt-coding-agent-010	41	2488	42637	74.772	74.771	10.802	1.218	218.994	254.31	35.315
aa-rwlt-coding-agent-010	42	145	45125	75.167	75.166	0.68	1.191	170.182	205.479	35.297
aa-rwlt-coding-agent-010	43	87	45270	75.883	75.882	0.404	1.194	172.698	210.453	37.756
aa-rwlt-coding-agent-010	44	1067	45357	80.245	80.244	4.332	1.224	199.811	240.883	41.071
aa-rwlt-coding-agent-010	45	85	46424	80.668	80.666	0.507	1.23	172.684	210.574	37.89
aa-rwlt-coding-agent-010	46	1071	46509	85.253	85.252	4.077	1.258	198.368	244.993	46.625
aa-rwlt-coding-agent-010	47	87	47580	85.99	85.989	0.476	1.258	173.397	219.132	45.734
aa-rwlt-coding-agent-010	48	201	47667	86.346	86.344	0.829	1.259	176.113	220.972	44.859
aa-rwlt-coding-agent-010	49	380	47868	87.773	87.772	1.514	1.266	178.012	225.123	47.111
aa-rwlt-coding-agent-010	50	533	48248	89.859	89.858	2.048	1.281	186.939	236.93	49.992
aa-rwlt-coding-agent-010	51	234	48781	91.225	91.224	0.897	1.304	180.544	228.394	47.85
aa-rwlt-coding-agent-010	52	839	49015	94.972	94.971	2.907	1.344	199.182	251.543	52.361
aa-rwlt-coding-agent-010	53	74	49854	95.361	95.36	0.322	1.325	178.904	238.335	59.431
aa-rwlt-coding-agent-010	54	1082	49928	100.393	100.391	3.564	1.343	209.75	271.091	61.341
aa-rwlt-coding-agent-010	55	1919	51010	110.217	110.216	5.658	1.461	228.284	306.016	77.732
aa-rwlt-coding-agent-010	56	1440	52929	117.418	117.417	4.005	1.499	216.168	302.639	86.472
aa-rwlt-coding-agent-010	57	1992	54369	132.071	132.07	4.877	1.513	236.689	335.799	99.11
aa-rwlt-coding-agent-010	58	187	56361	132.444	132.443	0.54	1.518	275.713	287.476	11.763
aa-rwlt-coding-agent-010	59	1564	56548	139.015	139.014	3.604	1.567	329.326	345.82	16.494
aa-rwlt-coding-agent-010	60	828	58112	145.624	145.623	1.825	1.569	209.11	320.953	111.843
aa-rwlt-coding-agent-010	61	804	58940	150.423	150.422	1.767	1.592	210.287	326.219	115.932
aa-rwlt-coding-agent-010	62	739	59744	154.783	154.782	1.585	1.612	216.46	333.3	116.839
aa-rwlt-coding-agent-010	63	659	60483	158.948	158.946	1.351	1.622	229.199	337.622	108.422
aa-rwlt-coding-agent-010	64	1252	61142	166.731	166.729	2.453	1.713	233.82	367.372	133.553
aa-rwlt-coding-agent-010	65	442	62394	168.383	168.382	0.911	1.718	203.475	341.662	138.187
aa-rwlt-coding-agent-010	66	531	62836	173.052	173.05	1.063	1.687	241.244	357.333	116.089
aa-rwlt-coding-agent-010	67	773	63367	172.922	172.921	1.478	1.725	219.787	360.951	141.164
aa-rwlt-coding-agent-010	68	370	64140	173.855	173.853	0.706	1.703	209.624	347.686	138.061
aa-rwlt-coding-agent-010	69	335	64510	177.008	177.006	0.635	1.723	260.843	350.865	90.023
aa-rwlt-coding-agent-010	70	463	64845	178.894	178.893	0.857	1.728	208.363	355.195	146.832
aa-rwlt-coding-agent-010	71	627	65308	182.067	182.065	1.123	1.817	252.482	382.599	130.116
aa-rwlt-coding-agent-010	72	553	65935	186.323	186.321	0.988	1.891	221.45	380.895	159.444
aa-rwlt-coding-agent-010	73	649	66488	195.738	195.736	1.149	2.177	238.112	402.397	164.285
aa-rwlt-coding-agent-010	74	816	67137	200.645	200.643	1.325	1.921	226.628	401.326	174.697
aa-rwlt-coding-agent-010	75	732	67953	202.796	202.795	1.21	1.889	231.201	402.669	171.468
aa-rwlt-coding-agent-010	76	163	68685	202.173	202.171	0.303	1.918	302.726	384.29	81.564
aa-rwlt-coding-agent-010	77	410	68848	205.898	205.896	0.695	1.902	215.668	389.706	174.038
aa-rwlt-coding-agent-010	78	287	69258	208.963	208.962	0.489	1.881	213.964	392.404	178.44
