
=== aa-rwlt-coding-agent-010  [79 turns | ΔTTFT min=-311.1 p50=-50.0 mean=-53.0 max=+4.2 ms] ===
turn     ISL  OSL_a  OSL_b  cache_r  unique   TTFT_agg   TTFT_dis    Δ_TTFT  ITL_agg  ITL_dis
turn     ISL  OSL_a  OSL_b  cache_r  unique   TTFT_agg   TTFT_dis    Δ_TTFT  ITL_agg  ITL_dis
---------------------------------------------------------------------------------------------
   0    9945    456    393    0.204    7917      187.0      119.9     -67.1      1.9      2.4
   1   10366     43     45    0.957     446      142.1       56.5     -85.6               3.9
   2   12289     66     61    0.809    2344      139.2       79.1     -60.1      0.9      2.9
   3   13604    746    559    0.903    1316      131.8       71.5     -60.3      1.8      2.2
   4   14657    559    308    0.928    1057      166.7       72.6     -94.1      1.8      2.3
   5   15126     66    292    0.969     470      152.5       65.1     -87.4      3.8      2.5
   6   15090     86     85    0.687    4724      170.4      107.2     -63.2      0.9      3.2
   7   16667    105    105    0.907    1541      150.1       86.1     -64.0      2.5      2.9
   8   16822    151    231    0.989     182      128.4       72.2     -56.2      2.4      2.2
   9   17002    151    268    0.988     202      129.4       69.8     -59.7      2.4      2.4
  10   17097     58     58    0.994     105      130.3       71.7     -58.6      0.9      3.5
  11   17718    125    329    0.964     630      137.4       75.6     -61.8      2.1      2.4
  12   18092     45    164    0.978     396      132.1       75.2     -56.9      0.2      2.3
  13   18283     46     46    0.989     203      124.4       75.5     -48.9      0.0      2.8
  14   18975     56     56    0.963     703      137.4       89.7     -47.8      0.0      2.4
  15   20206     86    102    0.938    1262      146.7       95.2     -51.5      1.5      2.2
  16   20518     62     67    0.984     326      138.8       80.1     -58.7      2.1      3.5
  17   20623     54     54    0.995     111      139.0       78.5     -60.6      0.8      3.2
  18   20695     77     77    0.996      87      137.6       79.5     -58.1      2.5      2.7
  19   21055     66     60    0.982     383      141.0       81.7     -59.3      1.3      2.5
  20   21132     58     59    0.995     108      139.4       82.0     -57.4      0.6      2.7
  21   22454    521   1094    0.941    1334      154.7       99.1     -55.7      1.6      2.2
  22   22919    308    880    0.979     487      153.4       90.6     -62.8      2.0      2.3
  23   24416     62     62    0.938    1504      169.9      109.8     -60.1      0.2      2.2
  24   24716     54     55    0.988     300      144.9       92.0     -52.9      0.0      2.0
  25   26107    806    292    0.946    1403      170.6      116.1     -54.5      1.8      2.4
  26   27412    579    905    0.550   12322      336.7      253.6     -83.1      1.8      2.4
  27   28001   3031    408    0.978     609      177.1      103.8     -73.4      1.2      2.5
  28   31162    325     47    0.898    3162      304.2      155.6    -148.6      1.7      4.2
  29   31562     70     70    0.827    5455      247.3      188.3     -59.0      1.6      2.7
  30   32396    517    561    0.962    1234      173.7      124.1     -49.6      1.7      2.3
  31   32686     58     47    0.966    1124      189.3      124.0     -65.3      0.2      2.6
  32   32786     86     72    0.997     114      156.1      104.8     -51.3      2.6      2.7
  33   33033     91    156    0.992     265      158.8      108.2     -50.6      2.0      2.7
