conv_id	turn	fresh	reused	reuse_pct	kv_mb	kv_xfer_ms	wait_ms	ttft_agg_ms	ttft_disagg_ms	delta_ttft_ms
aa-rwlt-coding-agent-010	60	828	58113	98.595	31.688	143.628	161.718	109.195	295.715	186.52
aa-rwlt-coding-agent-010	61	804	58941	98.654	29.25	146.441	165.066	110.546	299.172	188.626
aa-rwlt-coding-agent-010	62	739	59745	98.778	25.594	151.234	169.961	110.888	311.414	200.526
aa-rwlt-coding-agent-010	63	659	60484	98.922	48.75	157.693	178.748	113.458	334.204	220.746
aa-rwlt-coding-agent-010	64	1252	61143	97.993	18.281	159.803	180.623	131.58	305.039	173.459
aa-rwlt-coding-agent-010	65	442	62395	99.297	21.938	162.405	183.038	102.354	321.555	219.201
aa-rwlt-coding-agent-010	66	531	62837	99.162	30.469	167.229	188.14	111.791	331.352	219.561
aa-rwlt-coding-agent-010	67	773	63368	98.795	14.625	166.74	187.559	117.08	313.819	196.739
aa-rwlt-coding-agent-010	68	370	64141	99.426	13.406	170.742	192.143	106.371	323.451	217.08
aa-rwlt-coding-agent-010	69	335	64511	99.483	18.281	173.672	194.932	103.357	325.461	222.104
aa-rwlt-coding-agent-010	70	463	64846	99.291	24.375	176.552	197.969	105.531	352.025	246.494
aa-rwlt-coding-agent-010	71	627	65309	99.049	21.938	180.5	202.214	118.971	347.361	228.39
aa-rwlt-coding-agent-010	72	553	65936	99.168	26.812	184.932	206.813	118.384	357.061	238.677
aa-rwlt-coding-agent-010	73	649	66489	99.033	31.688	189.247	211.426	134.242	361.912	227.67
aa-rwlt-coding-agent-010	74	816	67138	98.799	29.25	193.507	215.973	122.593	366.671	244.078
aa-rwlt-coding-agent-010	75	732	67954	98.934	7.312	195.493	218.009	126.763	352.601	225.838
aa-rwlt-coding-agent-010	76	163	68686	99.763	17.062	198.116	220.559	105.524	358.016	252.492
aa-rwlt-coding-agent-010	77	410	68849	99.408	12.188	199.914	221.879	110.428	357.646	247.218
aa-rwlt-coding-agent-011	0	9264	2068	18.249	19.5	5.511	10.935	105.4	58.368	-47.032
aa-rwlt-coding-agent-011	1	502	11332	95.758	7.312	3.973	9.472	37.468	56.718	19.25
aa-rwlt-coding-agent-011	2	142	11834	98.814	3.656	3.656	8.851	37.54	55.003	17.463
aa-rwlt-coding-agent-011	3	71	11976	99.411	91.406	6.049	12.421	41.376	91.213	49.837
aa-rwlt-coding-agent-011	4	2359	12047	83.625	74.344	8.263	14.553	68.955	87.363	18.408
aa-rwlt-coding-agent-011	5	1925	14406	88.213	20.719	7.783	14.421	61.027	75.496	14.469
aa-rwlt-coding-agent-011	6	516	16331	96.937	15.844	7.26	14.014	55.435	65.068	9.633
aa-rwlt-coding-agent-011	7	399	16847	97.686	145.031	14.185	22.392	42.97	126.155	83.185
aa-rwlt-coding-agent-011	8	3793	17246	81.972	9.75	14.329	22.113	95.504	79.08	-16.424
aa-rwlt-coding-agent-011	9	229	21039	98.923	13.406	13.487	21.005	49.728	78.768	29.04
aa-rwlt-coding-agent-011	10	306	21268	98.582	9.75	13.217	21.027	48.186	79.534	31.348
aa-rwlt-coding-agent-011	11	237	21574	98.913	9.75	13.167	20.781	47.357	80.808	33.451
aa-rwlt-coding-agent-011	12	208	21811	99.055	34.125	13.941	22.032	48.142	95.209	47.067
aa-rwlt-coding-agent-011	13	891	22019	96.111	23.156	15.356	23.834	63.695	94.891	31.196
aa-rwlt-coding-agent-011	14	583	22910	97.518	142.594	22.785	32.172	54.184	155.664	101.48
aa-rwlt-coding-agent-011	15	3730	23493	86.298	31.688	24.402	34.468	106.14	110.216	4.076
aa-rwlt-coding-agent-011	16	796	27223	97.159	20.719	25.685	35.232	60.532	109.668	49.136
aa-rwlt-coding-agent-011	17	520	28019	98.178	46.312	28.212	37.982	58.806	128.612	69.806
aa-rwlt-coding-agent-011	18	1169	28539	96.065	20.719	28.957	38.955	75.746	113.888	38.142
aa-rwlt-coding-agent-011	19	530	29708	98.247	19.5	29.858	39.587	60.181	112.82	52.639
aa-rwlt-coding-agent-011	20	493	30238	98.396	36.562	32.837	43.141	60.476	131.99	71.514
aa-rwlt-coding-agent-011	21	923	30731	97.084	24.375	35.243	46.009	73.182	129.1	55.918
aa-rwlt-coding-agent-011	22	619	31654	98.082	14.625	35.921	46.605	65.608	124.626	59.018
aa-rwlt-coding-agent-011	23	355	32273	98.912	23.156	37.378	48.213	63.502	133.97	70.468
