conv_id	turn	fresh	reused	reuse_pct	kv_mb	kv_xfer_ms	wait_ms	ttft_agg_ms	ttft_disagg_ms	delta_ttft_ms
aa-rwlt-coding-agent-010	60	828	58113	98.595	2244.938	164.22	181.575	109.834	314.124	204.29
aa-rwlt-coding-agent-010	61	804	58941	98.654	2276.625	169.511	186.966	111.048	321.695	210.647
aa-rwlt-coding-agent-010	62	739	59745	98.778	2304.656	218.788	236.399	111.387	371.31	259.923
aa-rwlt-coding-agent-010	63	659	60484	98.922	2329.031	181.043	198.783	110.922	334.898	223.976
aa-rwlt-coding-agent-010	64	1252	61143	97.993	2376.562	249.088	267.431	129.745	424.658	294.913
aa-rwlt-coding-agent-010	65	442	62395	99.297	2393.625	182.224	200.879	100.808	327.261	226.453
aa-rwlt-coding-agent-010	66	531	62837	99.162	2414.344	211.007	230.052	116.59	369.648	253.058
aa-rwlt-coding-agent-010	67	773	63368	98.795	2443.594	241.241	260.174	116.684	402.287	285.603
aa-rwlt-coding-agent-010	68	370	64141	99.426	2457.0	189.132	208.069	102.754	335.045	232.291
aa-rwlt-coding-agent-010	69	335	64511	99.483	2470.406	237.177	256.573	102.843	386.026	283.183
aa-rwlt-coding-agent-010	70	463	64846	99.291	2487.469	201.177	220.477	104.822	351.818	246.996
aa-rwlt-coding-agent-010	71	627	65309	99.049	2511.844	203.627	223.061	120.692	377.452	256.76
aa-rwlt-coding-agent-010	72	553	65936	99.168	2532.562	208.86	228.494	119.177	375.479	256.302
aa-rwlt-coding-agent-010	73	649	66489	99.033	2558.156	211.523	231.473	128.845	381.464	252.619
aa-rwlt-coding-agent-010	74	816	67138	98.799	2588.625	222.181	242.659	124.614	393.947	269.333
aa-rwlt-coding-agent-010	75	732	67954	98.934	2616.656	226.778	246.93	124.654	400.243	275.589
aa-rwlt-coding-agent-010	76	163	68686	99.763	2622.75	215.849	236.079	106.219	372.564	266.345
aa-rwlt-coding-agent-010	77	410	68849	99.408	2638.594	222.519	243.042	110.601	381.483	270.882
aa-rwlt-coding-agent-010	78	287	69259	99.587	2649.562	227.174	247.195	109.215	389.342	280.127
aa-rwlt-coding-agent-011	0	9266	2068	18.246	432.656	6.607	12.515	110.199	130.406	20.207
aa-rwlt-coding-agent-011	1	502	11334	95.759	450.938	6.822	12.239	38.041	58.958	20.917
aa-rwlt-coding-agent-011	2	142	11836	98.814	457.031	5.321	10.972	37.805	57.696	19.891
aa-rwlt-coding-agent-011	3	71	11978	99.411	459.469	5.056	10.469	42.97	55.003	12.033
aa-rwlt-coding-agent-011	4	2359	12049	83.627	549.656	7.394	13.407	68.788	92.295	23.507
aa-rwlt-coding-agent-011	5	1925	14408	88.214	622.781	9.815	16.421	61.619	88.938	27.319
aa-rwlt-coding-agent-011	6	516	16333	96.938	642.281	9.595	16.355	56.225	76.893	20.668
aa-rwlt-coding-agent-011	7	399	16849	97.687	656.906	9.158	16.089	44.205	69.222	25.017
aa-rwlt-coding-agent-011	8	3793	17248	81.973	801.938	14.897	22.642	95.513	127.592	32.079
aa-rwlt-coding-agent-011	9	229	21041	98.923	810.469	15.058	24.105	49.854	81.945	32.091
aa-rwlt-coding-agent-011	10	306	21270	98.582	822.656	14.078	22.119	48.811	81.997	33.186
aa-rwlt-coding-agent-011	11	237	21576	98.913	831.188	14.137	22.071	47.417	82.549	35.132
aa-rwlt-coding-agent-011	12	208	21813	99.055	839.719	14.21	22.743	48.767	82.821	34.054
aa-rwlt-coding-agent-011	13	891	22021	96.111	872.625	16.027	24.876	62.649	99.218	36.569
aa-rwlt-coding-agent-011	14	583	22912	97.519	895.781	17.211	26.124	54.131	101.099	46.968
aa-rwlt-coding-agent-011	15	3730	23495	86.299	1037.156	25.605	35.037	106.73	160.405	53.675
aa-rwlt-coding-agent-011	16	796	27225	97.159	1067.625	27.147	36.666	66.809	113.44	46.631
aa-rwlt-coding-agent-011	17	520	28021	98.178	1087.125	28.079	37.573	58.249	115.907	57.658
aa-rwlt-coding-agent-011	18	1169	28541	96.065	1132.219	32.005	42.206	74.928	140.971	66.043
aa-rwlt-coding-agent-011	19	530	29710	98.247	1151.719	36.098	46.94	60.498	126.896	66.398
aa-rwlt-coding-agent-011	20	493	30240	98.396	1171.219	36.893	47.478	62.052	120.942	58.89
aa-rwlt-coding-agent-011	21	923	30733	97.084	1206.562	38.976	49.609	72.344	138.704	66.36
aa-rwlt-coding-agent-011	22	619	31656	98.082	1229.719	40.786	51.248	75.048	132.818	57.77
aa-rwlt-coding-agent-011	23	355	32275	98.912	1243.125	41.559	52.365	64.331	129.758	65.427
aa-rwlt-coding-agent-011	24	566	32630	98.295	1265.062	43.096	53.726	71.53	138.857	67.327
aa-rwlt-coding-agent-011	25	903	33196	97.352	1299.188	45.626	56.683	70.938	142.83	71.892
aa-rwlt-coding-agent-011	26	2075	34099	94.264	1378.406	52.23	63.678	100.704	178.66	77.956
aa-rwlt-coding-agent-011	27	925	36174	97.507	1413.75	55.539	67.58	75.328	159.102	83.774
