conv_id	turn	fresh	reused	reuse_pct	kv_mb	kv_xfer_ms	wait_ms	ttft_agg_ms	ttft_disagg_ms	delta_ttft_ms
aa-rwlt-coding-agent-056	37	1070	68642	98.465	41.438	270.413	290.989	126.101	440.721	314.62
aa-rwlt-coding-agent-056	38	703	69712	99.002	28.031	284.795	305.361	119.559	444.038	324.479
aa-rwlt-coding-agent-056	39	1728	70415	97.605	67.031	334.035	355.256	148.156	528.875	380.719
aa-rwlt-coding-agent-056	40	2703	72143	96.389	103.594	363.981	385.821	179.243	588.333	409.09
aa-rwlt-coding-agent-056	41	295	74846	99.607	12.188	264.707	286.733	99.236	411.523	312.287
aa-rwlt-coding-agent-056	42	197	75141	99.739	8.531	270.247	292.889	98.491	424.814	326.323
aa-rwlt-coding-agent-056	43	624	75338	99.179	24.375	290.806	312.818	123.789	462.923	339.134
aa-rwlt-coding-agent-056	44	83	75962	99.891	4.875	289.893	311.771	102.843	437.211	334.368
aa-rwlt-coding-agent-056	45	88	76045	99.884	4.875	274.756	296.733	97.386	419.754	322.368
aa-rwlt-coding-agent-056	46	540	76133	99.296	21.938	287.515	309.594	129.085	463.269	334.184
aa-rwlt-coding-agent-056	47	112	76673	99.854	4.875	289.884	311.682	105.129	438.187	333.058
aa-rwlt-coding-agent-056	48	285	76785	99.63	12.188	299.676	321.808	108.429	453.516	345.087
aa-rwlt-coding-agent-056	49	121	77070	99.843	6.094	304.911	326.882	98.798	454.457	355.659
aa-rwlt-coding-agent-056	50	125	77191	99.838	6.094	307.081	329.094	105.33	456.61	351.28
aa-rwlt-coding-agent-056	51	430	77316	99.447	17.062	303.384	326.285	115.9	468.356	352.456
aa-rwlt-coding-agent-056	52	181	77746	99.768	8.531	306.144	328.408	106.604	461.491	354.887
aa-rwlt-coding-agent-056	53	294	77927	99.624	12.188	295.799	318.318	106.094	451.088	344.994
aa-rwlt-coding-agent-056	54	122	78221	99.844	6.094	300.166	323.134	103.422	454.553	351.131
aa-rwlt-coding-agent-056	55	159	78343	99.797	7.312	303.419	326.024	110.046	461.78	351.734
aa-rwlt-coding-agent-056	56	363	78502	99.54	14.625	316.955	339.509	120.447	488.137	367.69
aa-rwlt-coding-agent-056	57	976	78865	98.778	39.0	324.03	346.825	129.521	509.566	380.045
aa-rwlt-coding-agent-056	58	975	79841	98.794	37.781	340.044	363.647	136.973	522.002	385.029
aa-rwlt-coding-agent-056	59	783	80816	99.04	30.469	346.686	370.133	135.15	537.236	402.086
aa-rwlt-coding-agent-056	60	83	81599	99.898	3.656	344.569	368.385	112.387	503.832	391.445
aa-rwlt-coding-agent-073	0	7919	2028	20.388	302.25	5.746	11.398	96.828	115.143	18.315
aa-rwlt-coding-agent-073	1	421	9947	95.939	17.062	6.087	11.793	36.865	60.213	23.348
aa-rwlt-coding-agent-073	2	2344	9947	80.929	90.188	6.822	12.611	55.707	78.45	22.743
aa-rwlt-coding-agent-073	3	1315	12291	90.335	51.188	6.399	12.513	46.849	69.276	22.427
aa-rwlt-coding-agent-073	4	1053	13606	92.817	41.438	6.677	12.859	51.311	68.469	17.158
aa-rwlt-coding-agent-073	5	469	14659	96.9	18.281	6.507	13.05	41.978	63.031	21.053
aa-rwlt-coding-agent-073	6	4724	10368	68.699	180.375	6.307	12.557	81.944	104.192	22.248
aa-rwlt-coding-agent-073	7	1541	15128	90.755	59.719	8.386	15.212	62.774	86.82	24.046
aa-rwlt-coding-agent-073	8	155	16669	99.079	6.094	8.361	15.309	43.283	68.215	24.932
aa-rwlt-coding-agent-073	9	180	16824	98.941	8.531	7.95	15.016	44.694	68.848	24.154
aa-rwlt-coding-agent-073	10	95	17004	99.444	4.875	7.982	15.15	53.351	68.374	15.023
aa-rwlt-coding-agent-073	11	621	17099	96.495	24.375	9.05	16.386	46.453	72.755	26.302
aa-rwlt-coding-agent-073	12	374	17720	97.933	15.844	9.538	17.031	46.861	72.868	26.007
